Notes,Year,Year Code,Deaths,Population,Crude Rate,Age Adjusted Rate
,1999,1999,41144,142237295,28.9,26.6
,2000,2000,41872,143368343,29.2,26.8
,2001,2001,41394,145077463,28.5,26.1
,2002,2002,41514,146394634,28.4,25.7
,2003,2003,41620,147679036,28.2,25.3
,2004,2004,40954,148977286,27.5,24.6
,2005,2005,41116,150319521,27.4,24.2
,2006,2006,40821,151732647,26.9,23.6
,2007,2007,40599,153166353,26.5,23.0
,2008,2008,40589,154604015,26.3,22.6
,2009,2009,40678,155964075,26.1,22.3
,2010,2010,40996,156964212,26.1,22.1
,2011,2011,40931,158301098,25.9,21.6
,2012,2012,41152,159421973,25.8,21.3
,2013,2013,40861,160477237,25.5,20.8
,2014,2014,41213,161920569,25.5,20.6
,2015,2015,41524,163189523,25.4,20.3
,2016,2016,41488,164048590,25.3,20.1
,2017,2017,42000,165311059,25.4,19.9
,2018,2018,42466,166038755,25.6,19.7
,2019,2019,42281,166582199,25.4,19.4
,2020,2020,42275,167227921,25.3,19.1
Total,,,909488,3429003804,26.5,22.3
